Naam;Datum;Prijs
STRAT;2017-07-11;3.53
STRAT;2017-07-12;4.35
STRAT;2017-07-13;4.37
STRAT;2017-07-14;3.66
STRAT;2017-07-15;3.29
STRAT;2017-07-16;3.26
STRAT;2017-07-17;3.9
STRAT;2017-07-18;4.8
STRAT;2017-07-19;4.63
STRAT;2017-07-20;5.38
STRAT;2017-07-21;6.27
STRAT;2017-07-22;7.15
STRAT;2017-07-23;6.96
STRAT;2017-07-24;6.35
STRAT;2017-07-25;5.92
STRAT;2017-07-26;5.37
STRAT;2017-07-27;5.34
STRAT;2017-07-28;5.04
STRAT;2017-07-29;5.22
STRAT;2017-07-30;5.2
STRAT;2017-07-31;5.13
STRAT;2017-08-01;5.98
STRAT;2017-08-02;6
STRAT;2017-08-03;6.08
STRAT;2017-08-04;6.62
STRAT;2017-08-05;7.49
STRAT;2017-08-06;7.42
STRAT;2017-08-07;7.71
STRAT;2017-08-08;8.34
STRAT;2017-08-09;7.93
STRAT;2017-08-10;8.87
STRAT;2017-08-11;8.25
STRAT;2017-08-12;7.83
STRAT;2017-08-13;7.38
STRAT;2017-08-14;6.81
STRAT;2017-08-15;7.05
STRAT;2017-08-16;6.62
STRAT;2017-08-17;6.52
STRAT;2017-08-18;6.19
STRAT;2017-08-19;5.67
STRAT;2017-08-20;5.96
STRAT;2017-08-21;5.78
STRAT;2017-08-22;5.68
STRAT;2017-08-23;6.93
STRAT;2017-08-24;6.41
STRAT;2017-08-25;6.16
STRAT;2017-08-26;6.4
STRAT;2017-08-27;7.63
STRAT;2017-08-28;7.58
STRAT;2017-08-29;7.29
STRAT;2017-08-30;7.35
STRAT;2017-08-31;7.63
STRAT;2017-09-01;7.78
STRAT;2017-09-02;7.27
STRAT;2017-09-03;6.59
STRAT;2017-09-04;6.74
STRAT;2017-09-05;6.23
STRAT;2017-09-06;6.57
STRAT;2017-09-07;6.25
STRAT;2017-09-08;6.41
STRAT;2017-09-09;5.79
STRAT;2017-09-10;6.04
STRAT;2017-09-11;6.09
STRAT;2017-09-12;5.88
STRAT;2017-09-13;5.53
STRAT;2017-09-14;5.08
STRAT;2017-09-15;4.67
STRAT;2017-09-16;4.81
STRAT;2017-09-17;4.66
STRAT;2017-09-18;5.63
STRAT;2017-09-19;5.37
STRAT;2017-09-20;5.42
STRAT;2017-09-21;4.78
STRAT;2017-09-22;4.25
STRAT;2017-09-23;4.32
STRAT;2017-09-24;4.22
STRAT;2017-09-25;4.29
STRAT;2017-09-26;4.56
STRAT;2017-09-27;4.84
STRAT;2017-09-28;5.04
STRAT;2017-09-29;4.88
STRAT;2017-09-30;4.62
STRAT;2017-10-01;4.52
STRAT;2017-10-02;4.32
STRAT;2017-10-03;4.01
STRAT;2017-10-04;3.98
STRAT;2017-10-05;3.69
STRAT;2017-10-06;3.86
STRAT;2017-10-07;4.02
STRAT;2017-10-08;4.14
STRAT;2017-10-09;3.71
STRAT;2017-10-10;3.57
STRAT;2017-10-11;3.59
STRAT;2017-10-12;3.52
STRAT;2017-10-13;3.34
STRAT;2017-10-14;3.14
STRAT;2017-10-15;3.06
STRAT;2017-10-16;3.09
STRAT;2017-10-17;3.07
STRAT;2017-10-18;3.36
STRAT;2017-10-19;3.34
STRAT;2017-10-20;3.29
STRAT;2017-10-21;3.18
STRAT;2017-10-22;3.39
STRAT;2017-10-23;3.76
STRAT;2017-10-24;4.03
STRAT;2017-10-25;5.04
STRAT;2017-10-26;5.04
STRAT;2017-10-27;4.76
STRAT;2017-10-28;4.61
STRAT;2017-10-29;4.51
STRAT;2017-10-30;4.53
STRAT;2017-10-31;3.79
STRAT;2017-11-01;3.4
STRAT;2017-11-02;3.16
STRAT;2017-11-03;3.29
STRAT;2017-11-04;3.26
STRAT;2017-11-05;3.15
STRAT;2017-11-06;3.14
STRAT;2017-11-07;3.05
STRAT;2017-11-08;3.76
STRAT;2017-11-09;3.9
STRAT;2017-11-10;3.84
STRAT;2017-11-11;3.37
STRAT;2017-11-12;3.3
STRAT;2017-11-13;3.27
STRAT;2017-11-14;3.71
STRAT;2017-11-15;3.83
STRAT;2017-11-16;3.75
STRAT;2017-11-17;3.57
STRAT;2017-11-18;3.53
STRAT;2017-11-19;3.71
STRAT;2017-11-20;3.54
STRAT;2017-11-21;3.88
STRAT;2017-11-22;3.75
STRAT;2017-11-23;4.27
STRAT;2017-11-24;4.27
STRAT;2017-11-25;4.91
STRAT;2017-11-26;4.83
STRAT;2017-11-27;5.39
STRAT;2017-11-28;6.47
STRAT;2017-11-29;6.72
STRAT;2017-11-30;5.76
STRAT;2017-12-01;5.72
STRAT;2017-12-02;6.02
STRAT;2017-12-03;6.52
STRAT;2017-12-04;7.49
STRAT;2017-12-05;7.95
STRAT;2017-12-06;8.02
STRAT;2017-12-07;10.88
STRAT;2017-12-08;10
STRAT;2017-12-09;10.26
STRAT;2017-12-10;9.82
STRAT;2017-12-11;11.41
STRAT;2017-12-12;10.95
STRAT;2017-12-13;10.25
STRAT;2017-12-14;10.04
STRAT;2017-12-15;9.95
STRAT;2017-12-16;10.87
STRAT;2017-12-17;11.76
STRAT;2017-12-18;14
STRAT;2017-12-19;13.32
STRAT;2017-12-20;12.03
STRAT;2017-12-21;14.27
STRAT;2017-12-22;13.16
STRAT;2017-12-23;16.04
STRAT;2017-12-24;15.54
STRAT;2017-12-25;16.54
STRAT;2017-12-26;16.12
STRAT;2017-12-27;14.98
STRAT;2017-12-28;14.65
STRAT;2017-12-29;15.89
STRAT;2017-12-30;15.13
STRAT;2017-12-31;14.32
